english_word,category
banal,Neutral
banality,Neutral
bashful,Negative
bashfulness,Negative
be afraid,Negative
be agitated,Negative
be amazed,Neutral
be angry,Negative
be annoyed,Negative
be appalled,Negative
be apprehensive,Negative
be astonished,Neutral
be aversive,Negative
be baffled,Negative
be bewildered,Negative
be broken-hearted,Negative
be captivated,Positive
be careful,Neutral
be caught,Neutral
be complacent,Negative
be conceited,Negative
be concerned,Negative
be confident,Positive
be confounded,Neutral
be content,Positive
be convinced,Positive
be cranky,Negative
be creepy,Negative
be daunted,Negative
be delighted,Positive
be depressed,Negative
be deprived,Negative
be desperate,Negative
be devastated,Negative
be disappointed,Negative
be discouraged,Negative
be disgusted,Negative
be disheartened,Negative
be dispirited,Negative
be disturbed,Negative
be downhearted,Negative
be dumbfounded,Negative
be dumbstruck,Negative
be elated,Positive
be enamored,Positive
be encouraged,Positive
be enraged,Negative
be enraptured,Positive
be excited,Positive
be exhilarated,Positive
be fanatic,Negative
be fascinated,Positive
be flabbergasted,Neutral
be frantic,Negative
be frightened,Negative
be frustrated,Negative
be furious,Negative
be fussy,Negative
be gleeful,Positive
be happy,Positive
be heartbroken,Negative
be hostile,Negative
be hurt,Negative
be indignant,Negative
be infuriated,Negative
be intimidated,Negative
be irritated,Negative
be jealous,Negative
be mad,Negative
be merry,Positive
be mesmerized,Positive
be moved,Positive
be nauseated,Negative
be nervous,Negative
be outraged,Negative
be perplexed,Negative
be pleased,Positive
be pricked,Negative
be proud,Positive
be puzzled,Negative
be raged,Negative
be relieved,Positive
be reluctant,Negative
be sad,Negative
be satisfied,Positive
be scared,Negative
be shaken,Negative
be shocked,Negative
be short-tempered,Negative
be sickened,Negative
be sorrowful,Negative
be stabbed,Negative
be stable,Positive
be staggered,Negative
be stolen,Negative
be strained,Negative
be surprised,Neutral
be terrified,Negative
be tightened,Negative
be touched,Positive
be unsettled,Negative
be weary,Negative
be wistful,Negative
be withered,Negative
bear,Positive
beautiful,Positive
beauty,Positive
begrudge,Negative
being affected,Negative
being moved,Positive
being pricked,Negative
being reassured,Positive
being stabbed,Negative
being touched,Positive
being upset,Negative
beloved,Positive
beloving,Positive
bemoan,Negative
benevolent,Positive
best,Positive
bewail,Negative
bewailment,Negative
bewildered,Negative
bewildering,Negative
bewilderment,Negative
bitter,Negative
bitterness,Negative
bittersweet,Negative
bittersweetness,Negative
blame,Negative
blank,Neutral
blankness,Neutral
blasé,Neutral
bliss,Positive
bloated,Neutral
bloatedness,Neutral
blue,Negative
boastful,Negative
bold,Positive
bored,Negative
boredom,Negative
boring,Negative
boringness,Negative
bother,Negative
bothering,Negative
brave,Positive
bravery,Positive
breathless,Positive
breeziness,Positive
breezy,Positive
bright,Positive
broken-hearted,Negative
bummed,Negative
burden,Negative
burdened,Negative
calculating,Neutral
calculation,Neutral
calm,Positive
calmness,Positive
captive,Positive
care,Positive
cared,Positive
carefree,Positive
careful,Neutral
caring,Positive
cautious,Neutral
celebrate,Positive
celebrating,Positive
celebration,Positive
certain,Positive
chagrin,Negative
challenged,Negative
challenging,Negative
charitable,Positive
charm,Positive
charmed,Positive
cheated,Negative
cheer,Positive
cheered,Positive
cheerful,Positive
cheerfulness,Positive
cheerless,Negative
cheerlessness,Negative
cheesy,Neutral
cherish,Positive
cherishing,Positive
chiliness,Negative
chilliness,Negative
chilly,Negative
cliché,Neutral
cliché-ridden,Neutral
close,Positive
clueless,Neutral
cocky,Negative
cold,Negative
cold-blooded,Negative
cold-bloodedness,Negative
cold-hearted,Negative
cold-heartedness,Negative
comfort,Positive
comfortable,Positive
comforted,Positive
commiserating,Positive
commiseration,Positive
commune,Positive
communion,Positive
compassion,Positive
compassionate,Positive
complacency,Negative
complaining,Negative
complaint,Negative
composed,Positive
conceit,Negative
conceited,Negative
concentrating,Neutral
concentration,Neutral
concern,Neutral
condemn,Negative
condemnation,Negative
condescending,Negative
condolence,Positive
confidence,Positive
confident,Positive
conflict,Negative
conflicted,Negative
conflicting,Negative
confliction,Negative
confounding,Negative
confrontation,Negative
confrontational,Negative
confronted,Negative
confused,Negative
confusing,Negative
confusion,Negative
congratulate,Positive
congratulating,Positive
congratulation,Positive
considerate,Positive
consideration,Positive
consternate,Negative
consternated,Negative
consternation,Negative
contemn,Negative
contempt,Negative
contemptable,Negative
content,Positive
contentment,Positive
contrary,Negative
contrite,Positive
contrition,Positive
control,Neutral
controlled,Neutral
conviction,Positive
convinced,Positive
cool,Positive
cooperation,Positive
cooperative,Positive
courage,Positive
courageous,Positive
coward,Negative
cowardly,Negative
coziness,Positive
cozy,Positive
craft,Neutral
crafty,Negative
crank,Negative
cranky,Negative
craving,Negative
creepiness,Negative
creepy,Negative
cringe,Negative
cringey,Negative
critical,Negative
cross,Negative
cruel,Negative
cruelty,Negative
crush,Negative
crushed,Negative
cry,Negative
cunning,Negative
curiosity,Neutral
curious,Neutral
cute,Positive
cuteness,Positive
danger,Negative
dare,Positive
daring,Positive
daydream,Neutral
daydreaming,Neutral
daze,Neutral
dazed,Neutral
dearness,Positive
debate,Neutral
defense,Neutral
defensive,Neutral
definite,Neutral
deflated,Negative
degrading,Negative
dejected,Negative
dejection,Negative
delicate,Neutral
delight,Positive
delighted,Positive
delightful,Positive
demand,Neutral
demanding,Neutral
deplorable,Negative
deploration,Negative
deplore,Negative
deploring,Negative
depressed,Negative
depression,Negative
desire,Neutral
desiring,Neutral
despair,Negative
despairing,Negative
desperate,Negative
desperation,Negative
despicable,Negative
despise,Negative
despondency,Negative
detached,Negative
detachment,Negative
determination,Neutral
determined,Neutral
detest,Negative
detestable,Negative
detestation,Negative
detesting,Negative
devastated,Negative
devastation,Negative
devious,Negative
devoted,Positive
devotion,Positive
dictating,Neutral
difficult,Negative
difficulty,Negative
dignified,Positive
dim,Negative
dimness,Negative
dirtiness,Negative
dirty,Negative
disagreeable,Negative
disappointed,Negative
disappointing,Negative
disappointment,Negative
disapproval,Negative
disapproving,Negative
disbelief,Negative
disbelieving,Negative
discomfort,Negative
discomforting,Negative
disconcerted,Negative
discontent,Negative
discontented,Negative
discouraged,Negative
discouragement,Negative
discouraging,Negative
disdain,Negative
disenchantment,Negative
disgrace,Negative
disgraced,Negative
disgraceful,Negative
disgust,Negative
disgusting,Negative
disharmony,Negative
disheartened,Negative
disheartenment,Negative
disillusionment,Negative
disinterest,Negative
disinterested,Negative
dislike,Negative
dismal,Negative
dismay,Negative
dismayed,Negative
dispirited,Negative
displeased,Negative
displeasure,Negative
disregard,Negative
disrespect,Negative
disrespectful,Negative
dissatisfaction,Negative
dissatisfatory,Negative
dissatisfied,Negative
distant,Negative
distaste,Negative
distasteful,Negative
distracted,Negative
distraction,Negative
distress,Negative
distressed,Negative
distressful,Negative
distrust,Negative
distrustful,Negative
disturbance,Negative
disturbed,Negative
dizziness,Negative
dizzy,Negative
dogged,Neutral
dominated,Negative
doubt,Negative
doubtful,Negative
down,Negative
downhearted,Negative
dramatic,Neutral
dread,Negative
dreamy,Neutral
dreariness,Negative
dreary,Negative
dull,Negative
dullness,Negative
dumbfounded,Negative
dumbstruck,Negative
eager,Positive
eagerness,Positive
earnest,Positive
ease,Positive
easiness,Positive
easy,Positive
easy-going,Positive
ecstacy,Positive
ecstasy,Positive
ecstatic,Positive
ego,Neutral
elated,Positive
elation,Positive
electrification,Positive
electrified,Positive
electrifying,Positive
elegant,Positive
embarrassed,Negative
embarrassing,Negative
embarrassment,Negative
embittered,Negative
emotional,Neutral
empathize,Positive
empathy,Positive
emptiness,Negative
empty,Negative
emulate,Positive
enamored,Positive
encouragement,Positive
endure,Neutral
energetic,Positive
energy,Positive
engrossing,Positive
enjoy,Positive
enjoyable,Positive
enjoyment,Positive
enlighten,Positive
enlightenment,Positive
enraged,Negative
enragement,Negative
enraptured,Positive
enthusiasm,Positive
enthusiastic,Positive
entice,Neutral
envious,Negative
envy,Negative
esteem,Positive
euphoria,Positive
euphoric,Positive
evident,Neutral
evil,Negative
exaltation,Positive
exalted,Positive
excited,Positive
excitement,Positive
exciting,Positive
exhilarated,Positive
exhilaration,Positive
expect,Neutral
expectation,Neutral
exquisite,Positive
exquisiteness,Positive
exultant,Positive
exultation,Positive
failure,Negative
faint,Negative
fainting,Negative
faith,Positive
fall for,Positive
familiar,Positive
fanatic,Negative
fantastic,Positive
far-fetched,Neutral
fascinated,Positive
fascination,Positive
fatigue,Negative
favor,Positive
fear,Negative
fearful,Negative
fearfulness,Negative
feel,Neutral
feeling full,Neutral
feeling of alienation,Negative
feeling of being left out,Negative
feeling of isolation,Negative
feeling of loss,Negative
feeling of vacancy,Negative
fervent,Positive
fidelity,Positive
fierce,Negative
fine,Positive
firing,Neutral
flabbergasted,Neutral
flabberghast,Neutral
flattered,Positive
flattery,Positive
flavourless,Neutral
flavourlessness,Neutral
flush,Neutral
fluster,Negative
flustered,Negative
flutter,Neutral
fluttering,Neutral
focus,Neutral
focused,Neutral
fond,Positive
fool,Negative
foolish,Negative
forbidding,Negative
forceful,Negative
forgive,Positive
forgiveness,Positive
forgiving,Positive
forlorn,Negative
forlornness,Negative
fragrance,Positive
fragrant,Positive
frail,Negative
frantic,Negative
free,Positive
fresh,Positive
fret,Negative
fretful,Negative
fretted,Negative
friend,Positive
friendly,Positive
fright,Negative
frightened,Negative
frightening,Negative
frustrated,Negative
frustration,Negative
full,Neutral
fultter,Neutral
fume,Negative
fun,Positive
funny,Positive
furious,Negative
fury,Negative
fuss,Negative
gaiety,Positive
gaunt,Negative
generosity,Positive
generous,Positive
gentle,Positive
genuine,Positive
giddiness,Positive
giddy,Positive
give,Positive
giving,Positive
glad,Positive
glee,Positive
gloom,Negative
gloominess,Negative
gloomy,Negative
glorification,Positive
glorify,Positive
glorifying,Positive
glorious,Positive
glum,Negative
good,Positive
goodness,Positive
goodwill,Positive
grace,Positive
grateful,Positive
grave,Neutral
great,Positive
greatness,Positive
greed,Negative
grief,Negative
grief-stricken,Negative
grieve,Negative
grim,Negative
gripping,Neutral
grouch,Negative
grouchy,Negative
grudge,Negative
gruesome,Negative
grump,Negative
grumpy,Negative
guilt,Negative
guiltiness,Negative
guilty,Negative
hackneyed,Neutral
happiness,Positive
happy,Positive
hard,Negative
harsh,Negative
harshness,Negative
hassle,Negative
hassled,Negative
hate,Negative
hatred,Negative
heartache,Negative
heartbreaking,Negative
heartbroken,Negative
heated,Negative
heavy-hearted,Negative
helpful,Positive
helpless,Negative
helplessness,Negative
hesitancy,Negative
hesitate,Negative
hollow,Negative
homesick,Negative
honest,Positive
honesty,Positive
honorable,Positive
hope,Positive
hopeful,Positive
hopeless,Negative
hopelessess,Negative
hopelessness,Negative
horrible,Negative
horrid,Negative
horrified,Negative
horrifying,Negative
horror,Negative
hostility,Negative
hot,Neutral
humiliated,Negative
humiliating,Negative
humiliation,Negative
humor,Positive
humored,Positive
humorous,Positive
hurried,Negative
hurry,Negative
hurt,Negative
idiot,Negative
ignorance,Negative
ignore,Negative
ignored,Negative
ill-feeling,Negative
impassive,Neutral
impatience,Negative
impatient,Negative
impressed,Neutral
impressive,Neutral
impressiveness,Neutral
incompetent,Negative
indignant,Negative
indignation,Negative
infuriated,Negative
infuriation,Negative
injured,Negative
innocence,Positive
innocent,Positive
insipid,Negative
insipidity,Negative
inspiration,Positive
inspired,Positive
insult,Negative
insulting,Negative
intense,Neutral
interest,Positive
interested,Positive
interesting,Positive
intimacy,Positive
intimate,Positive
intimidated,Negative
intimidation,Negative
intimidatory,Negative
involved,Positive
involvement,Positive
irate,Negative
ire,Negative
irk,Negative
irking,Negative
irritated,Negative
irritating,Negative
irritation,Negative
jar,Negative
jarring,Negative
jealous,Negative
jealousy,Negative
joke,Positive
joking,Positive
jolly,Positive
joy,Positive
joyful,Positive
joyless,Negative
jubilant,Positive
jubilation,Positive
judging,Neutral
jumpy,Negative
keen,Positive
kind,Positive
kindness,Positive
knowing,Neutral
lame,Negative
lament,Negative
lamentable,Negative
lamentation,Negative
laughable,Neutral
laziness,Negative
lazy,Negative
lethargic,Negative
lethargy,Negative
liberated,Positive
lie,Negative
lighthearted,Positive
liked,Positive
liking,Positive
listening,Neutral
liveliness,Positive
lively,Positive
loathe,Negative
loathing,Negative
loneliness,Negative
lonely,Negative
lonesome,Negative
lonesomeness,Negative
long,Negative
longing,Negative
lost,Negative
love,Positive
loveliness,Positive
lovely,Positive
lovesick,Negative
loving,Positive
low,Negative
loyal,Positive
loyalty,Positive
luck,Positive
lukewarm,Neutral
lust,Negative
lying,Negative
mad,Negative
marvel,Positive
marvelous,Positive
mean,Negative
melancholy,Negative
mellow,Positive
merciful,Positive
merciless,Negative
mercilessness,Negative
mercy,Positive
merriment,Positive
merry,Positive
mesmerization,Neutral
messiness,Negative
messy,Negative
mind,Neutral
mischievous,Negative
miserable,Negative
misery,Negative
misjudged,Negative
miss,Negative
missing,Negative
mistreated,Negative
misunderstood,Negative
mixed,Neutral
mockery,Negative
mocking,Negative
modest,Positive
moist,Neutral
mood,Neutral
moody,Negative
mortification,Negative
mortified,Negative
mourn,Negative
mournful,Negative
mournfulness,Negative
mourning,Negative
moved,Positive
moving,Positive
murder,Negative
murderous,Negative
mystified,Neutral
nasty,Negative
nauseated,Negative
need,Neutral
needed,Neutral
needy,Neutral
neglect,Negative
neglected,Negative
nervous,Negative
nervousness,Negative
new,Positive
nice,Positive
nostalgia,Negative
nosy,Neutral
nuisance,Negative
numb,Negative
numbness,Negative
obedience,Neutral
obsessed,Negative
obsession,Negative
obvious,Neutral
odd,Neutral
oddness,Neutral
offended,Negative
opposition,Negative
outrage,Negative
outraged,Negative
overawe,Negative
overawed,Negative
overjoyed,Positive
overpowered,Negative
overpowering,Negative
overwhelm,Negative
overwhelmed,Negative
overwhelming,Negative
pain,Negative
painful,Negative
painstaking,Negative
pale,Negative
paleness,Negative
palpitating,Neutral
panic,Negative
passion,Positive
passionate,Positive
pathetic,Negative
peace,Positive
peaceful,Positive
peculiar,Neutral
peculiarity,Neutral
penitence,Negative
penitent,Negative
perplexing,Negative
pesky,Negative
pessimism,Negative
petrified,Negative
petulance,Negative
piteous,Negative
piteousness,Negative
pitiful,Negative
pitifulness,Negative
pitpat,Neutral
pity,Negative
placid,Neutral
placidity,Neutral
pleasant,Positive
pleased,Positive
pleasure,Positive
plentiful,Positive
praise,Positive
praiseworthy,Positive
pray,Positive
prayer,Positive
precious,Positive
preciousness,Positive
prefer,Positive
preference,Positive
prettiness,Positive
pretty,Positive
pricked,Negative
pride,Positive
protective,Positive
proud,Positive
proudness,Positive
prudent,Neutral
pure,Positive
push,Neutral
puzzled,Negative
puzzlement,Negative
puzzling,Negative
quail,Negative
questionable,Neutral
questioning,Neutral
rage,Negative
raged,Negative
rapture,Positive
raptured,Positive
reassured,Positive
rebelliousness,Negative
rebuke,Negative
reflect,Neutral
reflection,Neutral
refreshed,Positive
refreshing,Positive
refreshingness,Positive
refusal,Negative
regret,Negative
regretful,Negative
rejected,Negative
rejoice,Positive
rejoiced,Positive
relaxed,Positive
relief,Positive
relieved,Positive
relinquishment,Negative
relish,Positive
reluctance,Negative
reluctant,Negative
relunctance,Negative
remorse,Negative
remorseful,Negative
repent,Positive
repentance,Positive
repentant,Positive
reprimand,Negative
reproach,Negative
repugnance,Negative
repugnant,Negative
repulsed,Negative
repulsive,Negative
resent,Negative
resentful,Negative
resentment,Negative
resign,Negative
resignation,Negative
resist,Negative
resolute,Positive
resoluteness,Positive
resolution,Positive
respect,Positive
responsible,Positive
restless,Negative
restlessness,Negative
revere,Positive
reverence,Positive
revolting,Negative
revulsion,Negative
rewarding,Positive
ridiculous,Negative
ridiculousness,Negative
rigor,Neutral
romance,Positive
romantic,Positive
sad,Negative
sadness,Negative
safe,Positive
sag,Negative
satisfaction,Positive
satisfied,Positive
save,Positive
saving,Positive
scared,Negative
scariness,Negative
scary,Negative
scruple,Negative
scrupulous,Neutral
secure,Positive
self-compassion,Positive
self-confidence,Positive
self-confident,Positive
self-esteem,Positive
self-hatred,Negative
self-pity,Negative
self-pitying,Negative
sense of achievement,Positive
sense of betrayal,Negative
sense of closeness,Positive
sense of defeat,Negative
sense of freedom,Positive
sense of guilt,Negative
sense of incompatibility,Negative
sense of inferiority,Negative
sense of insult,Negative
sense of loyalty,Positive
sense of pressure,Negative
sensitive,Neutral
sensitivity,Neutral
sentiment,Neutral
sentimental,Neutral
serene,Positive
serenity,Positive
serious,Neutral
settled,Positive
sexy,Positive
shaken,Negative
shame,Negative
shameful,Negative
shameless,Negative
shamelessness,Negative
sheepish,Negative
sheepishness,Negative
shocked,Negative
shocking,Negative
shook-up,Negative
shudder,Negative
shuddering,Negative
shun,Negative
shy,Negative
shyness,Negative
sick-at-heart,Negative
sickened,Negative
sickening,Negative
significant,Neutral
sincere,Positive
sleepiness,Negative
small,Negative
smoothness,Positive
smuggness,Negative
sneaky,Negative
snort,Negative
sob,Negative
soft,Positive
solemn,Neutral
solemnity,Neutral
solitary,Negative
solitude,Negative
somber,Negative
sore,Negative
soreness,Negative
sorriness,Negative
sorrow,Negative
sorrowful,Negative
sorry,Negative
special,Positive
spiteful,Negative
spitefulness,Negative
splendid,Positive
spookiness,Negative
spooky,Negative
stableness,Positive
staggered,Negative
startled,Negative
still,Positive
sting,Negative
stinging,Negative
strain,Negative
strained,Negative
strange,Neutral
stress,Negative
strive,Neutral
stuffiness,Negative
stuffy,Negative
stupid,Negative
stupidity,Negative
sublime,Positive
success,Positive
suffer,Negative
suffering,Negative
sulkiness,Negative
sulky,Negative
sullen,Negative
sullenness,Negative
sure,Positive
surprise,Neutral
surprised,Neutral
surprising,Neutral
suspicion,Negative
suspicious,Negative
swallow,Negative
sweet,Positive
sweetness,Positive
sympathetic,Positive
sympathize,Positive
sympathy,Positive
tear,Negative
tearful,Negative
tease,Neutral
teasing,Neutral
tedious,Negative
tediousness,Negative
tempted,Negative
tender,Positive
tenderness,Positive
tense,Negative
tension,Negative
tepid,Neutral
terrified,Negative
terrifying,Negative
terror,Negative
thankful,Positive
thankfulness,Positive
think,Neutral
thinking,Neutral
thought,Neutral
thoughtful,Positive
thoughtfulness,Positive
threatening,Negative
thrill,Positive
thrilling,Positive
thunderstruck,Negative
ticklish,Neutral
tightened,Negative
tightness,Negative
timid,Negative
timidity,Negative
tingle,Positive
tingling,Positive
tired,Negative
tiredness,Negative
tiresome,Negative
titilation,Positive
torment,Negative
tormented,Negative
touched,Positive
touching,Positive
tough,Negative
tragic,Negative
tragicality,Negative
tranquil,Positive
tranquility,Positive
trapped,Negative
treasure,Positive
trite,Negative
triteness,Negative
triumph,Positive
triumphant,Positive
trivial,Negative
trouble,Negative
troubled,Negative
troublesome,Negative
trust,Positive
trusting,Positive
tumult,Negative
tumultuous,Negative
turbulence,Negative
turbulent,Negative
turn sulky,Negative
uncaring,Negative
uncertain,Negative
uncomfortable,Negative
uncomfortableness,Negative
understanding,Positive
unease,Negative
uneasiness,Negative
uneasy,Negative
unfamiliar,Negative
unfamiliarity,Negative
unfortunate,Negative
unfriendly,Negative
unhappiness,Negative
unhappy,Negative
uninterested,Negative
unpleasant,Negative
unpleasantness,Negative
unrest,Negative
unsatisfaction,Negative
unsatisfied,Negative
unsatisfying,Negative
unsettled,Negative
unsure,Negative
untruth,Negative
uphill,Negative
upset,Negative
upsetness,Negative
upsetting,Negative
uptight,Negative
useless,Negative
vacant,Negative
vague,Neutral
vagueness,Neutral
vain,Neutral
valuable,Positive
value,Positive
vexation,Negative
victory,Positive
vigor,Positive
vigorous,Positive
villification,Negative
vitality,Positive
vivid,Positive
void,Negative
wail,Negative
wailing,Negative
want,Positive
wanted,Positive
wanting,Neutral
warm,Positive
warmth,Positive
watchful,Neutral
weariness,Negative
wearisome,Negative
weary,Negative
weepy,Negative
welcome,Positive
welcoming,Positive
whining,Negative
wise,Positive
wish,Positive
wishful,Positive
wishfulness,Positive
wistful,Negative
wistfulness,Negative
woeful,Negative
wonder,Positive
wonderful,Positive
wondering,Neutral
worried,Negative
worry,Negative
worrying,Negative
worship,Positive
worst,Negative
worth,Positive
worthless,Negative
worthwhile,Positive
worthy,Positive
wrench,Negative
wretched,Negative
yearn,Positive
yearning,Positive
