korean_word,category
고민하는,Negative
고민하다,Negative
고심하다,Negative
고적하다,Negative
고통,Negative
고통받는,Negative
고통스럽다,Negative
곤혹,Negative
곤혹스럽다,Negative
골나다,Negative
공감,Positive
공감하다,Positive
공격,Negative
공격받은,Negative
공격적이다,Negative
공상,Neutral
공상적이다,Neutral
공정하다,Positive
공정함,Positive
공포,Negative
공포스럽다,Negative
공허하다,Negative
공허함,Negative
관리하는,Neutral
관심,Neutral
관심없다,Neutral
관심있다,Positive
관여,Neutral
관여하는,Neutral
괘씸하다,Negative
괘씸함,Negative
괜찮다,Positive
괴로움,Negative
괴롭다,Negative
괴짜,Neutral
굉장하다,Positive
굉장함,Positive
교감,Positive
교감하다,Positive
교만,Negative
교만하다,Negative
교활하다,Negative
교활함,Negative
구슬프다,Negative
굴욕,Negative
굴욕적이다,Negative
궁금증,Neutral
궁금해하는,Neutral
궁핍한,Negative
권태,Negative
권태롭다,Negative
귀여움,Positive
귀엽다,Positive
귀찮다,Negative
귀찮음,Negative
그리움,Negative
그리워하다,Negative
그립다,Negative
근심,Negative
근심걱정,Negative
근심하는,Negative
근심하다,Negative
금지하는,Negative
급함,Neutral
긍지,Positive
기겁,Negative
기겁하는,Negative
기겁하다,Negative
기고만장,Negative
기고만장하다,Negative
기교,Neutral
기껍다,Positive
기대,Positive
기대하다,Positive
기막히다,Negative
기만적이다,Negative
기묘하다,Neutral
기묘함,Neutral
기민하다,Positive
기민함,Positive
기분,Neutral
기쁘다,Positive
기쁨,Positive
기술,Neutral
기운없는,Negative
기운없음,Negative
기원,Positive
기원하다,Positive
기절초풍,Negative
기절초풍하다,Negative
기절초풍한,Negative
기죽다,Negative
기죽은,Negative
기특한,Positive
기특함,Positive
긴장,Negative
긴장하다,Negative
긴장한,Negative
까무러치다,Negative
깜짝 놀란,Negative
깜찍하다,Positive
깜찍함,Positive
깨달음,Positive
깨우침,Positive
꺼리다,Negative
꺼림직하다,Negative
꺼림칙하다,Negative
께름직하다,Negative
꿀꿀하다,Negative
꿀꿀함,Negative
꿈같다,Positive
끔찍,Negative
끔찍하다,Negative
낙,Positive
낙담,Negative
낙담하다,Negative
낙담한,Negative
낙망,Negative
낙망하다,Negative
낙망한,Negative
낙심,Negative
낙심하다,Negative
낙심한,Negative
난처,Negative
난처하다,Negative
남부끄럽다,Negative
남부럽다,Positive
낭만,Positive
낭만적이다,Positive
낭패,Negative
낭패스럽다,Negative
낮은,Negative
낯간지럽다,Positive
낯뜨겁다,Negative
낯설다,Negative
낯섦,Negative
냉혹하다,Negative
냉혹함,Negative
너그러움,Positive
너그럽다,Positive
넌더리나다,Negative
노기,Negative
노발대발,Negative
노발대발하는,Negative
노발대발하다,Negative
노심초사,Negative
노심초사하다,Negative
노여움,Negative
노엽다,Negative
노파심,Negative
노하다,Negative
놀라다,Negative
놀란,Negative
놀람,Negative
놀랍다,Positive
놀리는,Negative
놀리다,Negative
농담,Neutral
농담하는,Neutral
눈물,Negative
눈물 어린,Negative
눈물겹다,Negative
눈물짓다,Negative
뉘우치는,Negative
뉘우치다,Negative
뉘우침,Negative
느끼다,Neutral
다정하다,Positive
다정함,Positive
다치다,Negative
다친,Negative
단념,Negative
단호한,Neutral
달가워하다,Positive
달갑다,Positive
달달하다,Positive
달달함,Positive
달성,Positive
달성하다,Positive
담담하다,Positive
담담함,Positive
답답하다,Negative
답답함,Negative
당당하다,Positive
당당함,Positive
당혹,Negative
당혹스럽다,Negative
당혹하다,Negative
당황,Negative
당황스럽다,Negative
당황하다,Negative
당황한,Negative
대경실색,Negative
대단하다,Positive
대단함,Positive
대담하다,Positive
대립,Negative
대성통곡,Negative
대성통곡하다,Negative
대치,Negative
덤덤하다,Neutral
덤덤함,Neutral
도외시,Neutral
도외시된,Neutral
도전,Positive
도취감,Positive
도취하다,Positive
독하다,Negative
동경,Positive
동경하는,Positive
동경하다,Positive
동요,Negative
동요된,Negative
동요하다,Negative
동정,Negative
동정하는,Negative
동정하다,Negative
두근두근,Positive
두려움,Negative
두려워하는,Negative
두려워하다,Negative
두렵다,Negative
뒤숭숭하다,Negative
뒤숭숭함,Negative
드라마틱하다,Positive
든든하다,Positive
든든함,Positive
들뜨다,Positive
들뜬,Positive
들뜸,Positive
따뜻하다,Positive
따뜻함,Positive
따분하다,Negative
따분함,Negative
딱하다,Negative
딱함,Negative
떠름하다,Negative
떨리는,Negative
떨리다,Negative
떨림,Negative
떫다,Negative
떳떳하다,Positive
떳떳함,Positive
뚱하다,Negative
뚱함,Negative
뜨끔하다,Negative
마땅찮다,Negative
마땅찮음,Negative
마음고생,Negative
마음고생하는,Negative
마음고생하다,Negative
마음놓다,Positive
마지못하다,Negative
마지못함,Negative
만족,Positive
만족감,Positive
만족하는,Positive
만족하다,Positive
맘놓다,Positive
망극하다,Negative
망설이다,Negative
망설임,Negative
망연자실,Negative
망연자실하다,Negative
망연자실한,Negative
망연하다,Negative
망연함,Negative
매력,Positive
매력적이다,Positive
매료,Positive
매료되다,Positive
매료된,Positive
매혹,Positive
매혹되다,Positive
매혹된,Positive
맥빠지다,Negative
머쓱하다,Negative
먹먹하다,Negative
먹먹함,Negative
멋있다,Positive
멋지다,Positive
멋쩍다,Negative
멍청,Negative
멍청한,Negative
멍한,Negative
멍함,Negative
멸시,Negative
멸시하다,Negative
모멸,Negative
모멸감,Negative
모멸하다,Negative
모욕감,Negative
모욕적이다,Negative
모험,Positive
몰두,Neutral
몰두한,Neutral
몸서리치는,Negative
못되다,Negative
못마땅하다,Negative
못마땅함,Negative
몽상,Neutral
몽상하는,Neutral
몽환적이다,Neutral
묘하다,Neutral
묘함,Neutral
무가치한,Negative
무감각하다,Negative
무감각함,Negative
무감동,Negative
무감동하다,Negative
무관심,Negative
무관심하다,Negative
무기력,Negative
무기력하다,Negative
무덤덤하다,Neutral
무덤덤함,Neutral
무력감,Negative
무력하다,Negative
무례,Negative
무례하다,Negative
무료하다,Negative
무료함,Negative
무색하다,Negative
무서움,Negative
무서워하는,Negative
무서워하다,Negative
무섭다,Negative
무시,Negative
무시된,Negative
무시무시하다,Negative
무시하다,Negative
무식,Negative
무신경한,Neutral
무심하다,Neutral
무심함,Neutral
무안하다,Negative
무안함,Negative
무정한,Negative
무지,Neutral
뭉클,Positive
뭉클하다,Positive
미심쩍다,Negative
미심쩍어하는,Negative
미안하다,Negative
미안함,Negative
미안해하는,Negative
민감하다,Neutral
민감함,Neutral
민망하다,Negative
민망함,Negative
민망해하다,Negative
믿음,Neutral
바람,Neutral
바보,Negative
박진감,Positive
반감,Negative
반발,Negative
반성,Neutral
반성하는,Neutral
반성하다,Neutral
반하다,Neutral
반항심,Negative
발끈하다,Negative
방어,Neutral
방어적이다,Neutral
방치,Negative
배려,Positive
배려하는,Positive
배신감,Negative
백일몽,Neutral
버릇없는,Negative
벅차다,Positive
번뇌,Negative
번뇌하는,Negative
번뇌하다,Negative
번민,Negative
번민하는,Negative
번민하다,Negative
베풀다,Positive
보고싶다,Positive
보고싶음,Positive
보람,Positive
보람있다,Positive
보람차다,Positive
보살핌,Positive
복종,Neutral
본받다,Positive
볼만하다,Positive
부끄러움,Negative
부끄럽다,Negative
부담스러움,Negative
부담스럽다,Negative
부드러움,Positive
부드럽다,Positive
부러움,Negative
부럽다,Negative
부루퉁하다,Negative
부루퉁함,Negative
부아,Negative
부족한,Negative
분,Negative
분개,Negative
분개하는,Negative
분개하다,Negative
분노,Negative
분노하다,Negative
분노한,Negative
분통,Negative
분하다,Negative
분함,Negative
불만,Negative
불만스럽다,Negative
불만족,Negative
불만족하다,Negative
불신,Negative
불신하는,Negative
불신하다,Negative
불쌍하다,Negative
불쌍함,Negative
불안,Negative
불안하다,Negative
불쾌하다,Negative
불쾌함,Negative
불편,Negative
불편하다,Negative
불평,Negative
불평하는,Negative
불행,Negative
불행하다,Negative
불확실한,Negative
비겁자,Negative
비관,Negative
비난,Negative
비난받는,Negative
비난하는,Negative
비난하다,Negative
비련,Negative
비련의,Negative
비분강개하다,Negative
비애,Negative
비웃는,Negative
비참,Negative
비참하다,Negative
비탄,Negative
비탄하다,Negative
비통하다,Negative
비통함,Negative
비판적이다,Negative
빼앗기다,Negative
뻔뻔하다,Negative
뻔뻔함,Negative
뼈아프다,Negative
뽐내는,Negative
뾰로통하다,Negative
뾰로통함,Negative
뿌듯하다,Positive
사과,Positive
사랑,Positive
사랑스러움,Positive
사랑스럽다,Positive
사랑하다,Positive
사려,Positive
사려 깊은,Positive
사려깊은,Positive
사려깊음,Positive
사로잡히다,Positive
사로잡힌,Positive
사모하다,Positive
사심없음,Positive
산뜻하다,Positive
산뜻함,Positive
산만하다,Negative
살기등등하다,Negative
살인,Negative
살인적이다,Negative
상냥하다,Positive
상냥함,Positive
상실감,Negative
상심하다,Negative
상심한,Negative
상처받다,Negative
상처받은,Negative
상쾌하다,Positive
상쾌함,Positive
상큼하다,Positive
상큼함,Positive
새로운,Positive
샐쭉하다,Negative
샐쭉함,Negative
샘,Negative
샘나는,Negative
샘내는,Negative
샘내다,Negative
생각,Neutral
생각하는,Neutral
생기,Positive
생기없는,Neutral
생동감,Positive
생생하다,Positive
서두르는,Neutral
서두름,Neutral
서러움,Negative
서러워하다,Negative
서럽다,Negative
서먹하다,Negative
서먹함,Negative
서운하다,Negative
서운함,Negative
선뜩하다,Negative
선뜩함,Negative
선선하다,Neutral
선호,Positive
선호되는,Positive
선호하다,Positive
설레는,Positive
설레다,Positive
설렘,Positive
설워하다,Negative
섬뜩하다,Negative
섬뜩함,Negative
섬세하다,Positive
섬찟하다,Negative
섭섭하다,Negative
섭섭함,Negative
성,Neutral
성가시다,Negative
성가심,Negative
성공,Neutral
성급함,Neutral
성나다,Negative
성난,Negative
성내다,Negative
성마름,Negative
성취감,Neutral
세심하다,Positive
섹시하다,Positive
소름끼치다,Negative
소망,Positive
소망하는,Positive
소망하다,Positive
소소한,Positive
소스라치다,Negative
소심하다,Negative
소심함,Negative
소외감,Negative
소용없는,Negative
소원,Positive
소원하다,Positive
소중하다,Positive
소중함,Positive
소홀,Negative
속병,Negative
속상하다,Negative
속상함,Negative
속은,Negative
속타다,Negative
속태우다,Negative
솔직하다,Positive
솔직함,Positive
송연하다,Negative
쇼킹,Negative
수락,Positive
수배 중인,Neutral
수비,Neutral
수심,Negative
수용,Positive
수용된,Positive
수용하는,Positive
수줍다,Neutral
수줍음,Neutral
수척하다,Neutral
수치,Negative
수치스럽다,Negative
숙연하다,Neutral
숙연함,Neutral
순수하다,Positive
순수함,Positive
숭상,Positive
숭상하는,Positive
숭상하다,Positive
스산하다,Negative
스산함,Negative
스트레스,Negative
슬퍼하다,Negative
슬프다,Negative
슬픔,Negative
승리,Positive
승인,Positive
시기심,Negative
시기하는,Negative
시기하다,Negative
시달리는,Negative
시달리다,Negative
시달림,Negative
시무룩하다,Negative
시무룩함,Negative
시샘,Negative
시샘하다,Negative
시원섭섭하다,Neutral
시원섭섭함,Neutral
시큰둥하다,Neutral
식상하다,Negative
식상함,Negative
신경질,Negative
신기하다,Positive
신기함,Positive
신나다,Positive
신남,Positive
신뢰,Positive
신뢰하는,Positive
신뢰하다,Positive
신명나다,Positive
신물나다,Negative
신바람,Positive
신바람나다,Positive
신이 난,Positive
신중하다,Neutral
실례되는,Negative
실망,Negative
실망하다,Negative
실망한,Negative
실신,Negative
실의,Negative
실패,Negative
싫다,Negative
싫어하다,Negative
싫음,Negative
싫증,Negative
싫증나다,Negative
싫증난,Negative
심각한,Negative
심드렁하다,Neutral
심란하다,Negative
심란함,Negative
심려,Negative
심려하는,Negative
심려하다,Negative
심술궂은,Negative
심심하다,Negative
심심함,Negative
심취,Neutral
심취한,Neutral
싱거움,Neutral
싱겁다,Neutral
싱싱하다,Positive
쌀쌀맞은,Negative
쌀쌀하다,Negative
쌀쌀함,Negative
썰렁하다,Negative
썰렁함,Negative
쑥스러움,Negative
쑥스럽다,Negative
쓰라리다,Negative
쓰라림,Negative
쓸쓸하다,Negative
쓸쓸함,Negative
씁쓸하다,Negative
씁쓸함,Negative
아끼는,Positive
아끼다,Positive
아니꼬움,Negative
아니꼽다,Negative
아련하다,Negative
아련함,Negative
아름다움,Positive
아름답다,Positive
아리다,Negative
아림,Negative
아쉬움,Negative
아쉽다,Negative
아슬아슬하다,Negative
아슬아슬함,Negative
아연실색하다,Negative
아연하다,Negative
아찔하다,Negative
아찔함,Negative
아첨,Negative
아프다,Negative
아픔,Negative
악의적인,Negative
악하다,Negative
안달,Negative
안달복달하다,Negative
안달하는,Negative
안달하다,Negative
안도,Positive
안도하다,Positive
안락,Positive
안락하다,Positive
안심,Positive
안심하는,Positive
안심하다,Positive
안쓰러움,Negative
안쓰럽다,Negative
안전한,Positive
안정,Positive
안정되다,Positive
안정적인,Positive
안타까움,Negative
안타깝다,Negative
알리다,Neutral
암담하다,Negative
암담함,Negative
암울하다,Negative
암울함,Negative
압도당하는,Negative
압도된,Negative
압도하는,Neutral
압도하다,Neutral
압박감,Negative
앙심,Negative
애,Negative
애달프다,Negative
애달픔,Negative
애닯다,Negative
애도,Negative
애도하다,Negative
애련,Negative
애련하다,Negative
애석,Negative
애석하다,Negative
애수,Negative
애쓰다,Negative
애잔하다,Negative
애잔함,Negative
애정,Positive
애정어리다,Positive
애정하는,Positive
애정하다,Positive
애지중지하다,Positive
애착,Positive
애처롭다,Negative
애통하다,Negative
애통함,Negative
애통해하다,Negative
야속하다,Negative
야속함,Negative
야위다,Negative
약오르는,Negative
얕잡아보다,Negative
어리둥절,Negative
어리둥절하다,Negative
어리석은,Negative
어색하다,Negative
어색함,Negative
어이없다,Negative
어이없음,Negative
어지럽다,Negative
어처구니없다,Negative
어처구니없음,Negative
억울하다,Negative
억울함,Negative
얼떨떨하다,Negative
엄숙하다,Neutral
엄숙함,Neutral
업신여기다,Negative
엇나가는,Negative
엉큼하다,Negative
여유있다,Positive
역겨움,Negative
역겹다,Negative
역정,Negative
역정내는,Negative
역정내다,Negative
연모하다,Positive
연민,Neutral
연민하는,Neutral
연민하다,Neutral
연약하다,Neutral
연정,Positive
열광하는,Positive
열광하다,Positive
열등감,Negative
열띠다,Neutral
열렬하다,Positive
열망,Positive
열망하는,Positive
열망하다,Positive
열받다,Negative
열애,Positive
열정,Positive
열정적인,Positive
열중,Positive
열중하는,Positive
염려,Negative
염려하는,Negative
염려하다,Negative
영광스럽다,Positive
영예롭다,Positive
예뻐하다,Positive
예쁘다,Positive
예쁨,Positive
오글거리다,Negative
오싹하다,Negative
오싹함,Negative
오판된,Negative
온정,Positive
온정적인,Positive
온화하다,Positive
완연하다,Positive
외로움,Negative
외롭다,Negative
요구,Neutral
욕구,Neutral
욕망,Neutral
욕망하는,Neutral
욕망하다,Neutral
욕심,Negative
용감하다,Positive
용감함,Positive
용기,Positive
용서,Positive
용서하는,Positive
용서하다,Positive
우려,Negative
우려하는,Negative
우려하다,Negative
우수,Neutral
우습다,Neutral
우울,Negative
우울하다,Negative
우쭐하다,Negative
우쭐한,Negative
우쭐함,Negative
우호,Positive
우호적인,Positive
욱하다,Negative
울다,Negative
울분,Negative
울컥,Negative
울컥하다,Negative
웃기다,Neutral
원망,Negative
원망하는,Negative
원망하다,Negative
원통하다,Negative
원하는,Neutral
원하다,Neutral
원한,Negative
원함,Neutral
원활,Neutral
위로,Positive
위로받은,Positive
위로하는,Positive
위압감,Negative
위압하다,Negative
위축되다,Negative
위험,Negative
위험하다,Negative
위협적이다,Negative
위화감,Negative
유감,Negative
유감스러운,Negative
유머,Positive
유머러스하다,Positive
유익하다,Positive
유쾌,Positive
유쾌하다,Positive
유혹하다,Negative
으깨진,Negative
으쓱한,Negative
은총,Positive
은혜,Positive
은혜롭다,Positive
음울하다,Negative
음울함,Negative
응원,Positive
의기소침하다,Negative
의기양양,Positive
의기양양하다,Positive
의식하는,Neutral
의심,Negative
의심스럽다,Negative
의심쩍다,Negative
의아하다,Negative
의혹,Negative
이끌리다,Negative
이끌림,Negative
이루다,Positive
이뻐하다,Positive
이해,Positive
이해심있는,Positive
이해하다,Positive
익살,Positive
익살스럽다,Positive
인상적이다,Positive
인상적임,Positive
일깨우다,Positive
잃어버린,Negative
자괴,Negative
자긍,Positive
자긍심,Positive
자기연민,Negative
자기자비,Positive
자기혐오,Negative
자랑스러움,Positive
자랑스럽다,Positive
자만심,Negative
자만하는,Negative
자부하다,Positive
자비,Positive
자신감,Positive
자신만만하다,Positive
자신있다,Positive
자신하다,Positive
자유로움,Positive
자유롭다,Positive
자족하다,Positive
자존감,Positive
자존심,Positive
자책하다,Negative
자포자기,Negative
자포자기하다,Negative
자포자기한,Negative
잔인하다,Negative
잔인함,Negative
잔잔하다,Positive
잘난척하는,Negative
재미,Positive
재미없다,Negative
재미있다,Positive
재촉,Neutral
적대감,Negative
적대하다,Negative
적의,Negative
적적하다,Negative
적적함,Negative
전념,Positive
전율,Neutral
절망,Negative
절망적이다,Negative
절망하다,Negative
절묘하다,Positive
절묘함,Positive
절박감,Negative
절박하다,Negative
절실하다,Neutral
절실함,Neutral
절절하다,Neutral
절절함,Neutral
정욕,Neutral
제어받는,Neutral
조롱,Negative
조마조마하다,Negative
조마조마함,Negative
조바심,Negative
조바심내는,Negative
조소,Negative
조심,Neutral
조심스럽다,Neutral
조심하다,Neutral
존경심,Positive
존경하는,Positive
존경하다,Positive
존중,Positive
졸림,Neutral
좋다,Positive
좋아하는,Positive
좋음,Positive
좌절,Negative
좌절스러운,Negative
좌절하는,Negative
좌절하다,Negative
죄스러움,Negative
죄스럽다,Negative
죄악시,Negative
죄의식,Negative
죄책감,Negative
주눅,Negative
주눅들다,Negative
주목,Neutral
주의,Neutral
중대하다,Neutral
즐거움,Positive
즐겁다,Positive
즐기다,Positive
증오,Negative
증오하는,Negative
증오하다,Negative
지각,Neutral
지각하다,Neutral
지겨움,Negative
지겹다,Negative
지루하다,Negative
지루함,Negative
지리하다,Negative
지배,Neutral
지배하는,Neutral
지저분,Negative
지저분하다,Negative
지지하다,Neutral
지치다,Negative
지침,Negative
지켜보는,Neutral
지혜롭다,Neutral
직면하는,Neutral
진노하다,Negative
진부하다,Negative
진부함,Negative
진솔하다,Neutral
진실되다,Neutral
진저리,Negative
진저리나는,Negative
진저리나다,Negative
질겁,Negative
질겁하는,Negative
질겁하다,Negative
질리다,Negative
질린,Negative
질림,Negative
질색,Negative
질색하는,Negative
질색하다,Negative
질책,Negative
질책하다,Negative
질투심,Negative
질투하는,Negative
질투하다,Negative
집중,Neutral
집중하는,Neutral
집중한,Neutral
집착,Negative
집착하는,Negative
징그럽다,Negative
징징대는,Negative
짜릿하다,Positive
짜릿함,Positive
짜증,Negative
짜증나는,Negative
짜증난,Negative
짜증내는,Negative
짜증내다,Negative
짝사랑,Negative
짝사랑하다,Negative
찔리는,Negative
찔리다,Negative
찔림,Negative
찡하다,Positive
차분하다,Positive
차분함,Positive
착잡하다,Negative
착잡함,Negative
찬사,Positive
찬성,Positive
찬성하는,Positive
찬성하다,Positive
찬양하다,Positive
참다,Negative
참담하다,Negative
참담함,Negative
창피하다,Negative
창피함,Negative
책망,Negative
책망하다,Negative
처연하다,Negative
처연함,Negative
처절하다,Negative
처절함,Negative
처지다,Negative
처참하다,Negative
처참함,Negative
체념,Negative
체념하다,Negative
초조,Negative
초조하다,Negative
촉촉하다,Positive
최고,Positive
최고의,Positive
최악,Negative
최악의,Negative
축하,Positive
축하하는,Positive
축하하다,Positive
충격받다,Negative
충성,Positive
충성스럽다,Positive
충성심,Positive
충족감,Positive
취하다,Neutral
측은하다,Negative
측은함,Negative
치떨리다,Negative
치열하다,Neutral
치욕,Negative
치욕스럽다,Negative
친구,Positive
친근하다,Positive
친밀감,Positive
친밀하다,Positive
친애,Positive
친애하는,Positive
친애하다,Positive
친절,Positive
친절하다,Positive
침울하다,Negative
침울함,Negative
침통하다,Negative
침통함,Negative
칭찬,Positive
켕기는,Negative
켕기다,Negative
켕김,Negative
코웃음,Negative
쾌감,Positive
쾌락,Positive
쾌활함,Positive
쿨하다,Positive
타산,Neutral
타산적인,Neutral
탐욕,Negative
탐욕스러운,Negative
탓하다,Negative
태평스럽다,Neutral
토나온다,Negative
토라지다,Negative
토라진,Negative
토라짐,Negative
통곡,Negative
통곡하다,Negative
통분,Negative
통분하다,Negative
통제,Neutral
통탄,Negative
통탄하다,Negative
투덜대는,Negative
판단하는,Neutral
패닉,Negative
패배감,Negative
편안,Positive
편안하다,Positive
편하다,Positive
편함,Positive
평가,Neutral
평가하는,Neutral
평가하다,Neutral
평안,Positive
평안하다,Positive
평온,Positive
평온하다,Positive
평화롭다,Positive
포근하다,Positive
포근함,Positive
풀죽다,Negative
풍성하다,Positive
피곤하다,Negative
피곤함,Negative
필요,Neutral
필요하다,Neutral
하찮다,Negative
학대당한,Negative
한심하다,Negative
한심함,Negative
한탄,Negative
한탄하다,Negative
합동,Neutral
항의,Neutral
해맑다,Positive
행복,Positive
행복하다,Positive
행운,Positive
향기,Positive
향기롭다,Positive
향수,Neutral
향수병,Neutral
허덕이는,Negative
허망하다,Negative
허망함,Negative
허무감,Negative
허무하다,Negative
허전하다,Negative
허전함,Negative
허탈하다,Negative
허탈함,Negative
허허롭다,Negative
헌신,Positive
헌신적이다,Positive
험악한,Negative
헛된,Negative
혐오,Negative
혐오하는,Negative
혐오하다,Negative
협동,Positive
협력,Positive
협력하는,Positive
협조,Positive
협조적인,Positive
형편없다,Negative
호감,Positive
호기심,Positive
호의,Positive
혹하는,Neutral
혼란스러움,Negative
혼란스럽다,Negative
혼비백산하다,Negative
홀가분하다,Positive
화,Negative
화끈하다,Positive
화나다,Negative
화내다,Negative
확고한,Positive
확신,Positive
확신하는,Positive
확신하다,Positive
환멸,Negative
환상적이다,Positive
환영,Positive
환영하는,Positive
환호,Positive
환희,Positive
환희하는,Positive
활기,Positive
활기없는,Negative
활기없음,Negative
활기차다,Positive
활력,Positive
활발하다,Positive
황공하다,Negative
황공함,Negative
황당하다,Negative
황당함,Negative
황송하다,Negative
황송함,Negative
황홀,Positive
황홀하다,Positive
회개,Negative
회개하는,Negative
회개하다,Negative
회오,Negative
회한,Negative
후련하다,Positive
후련함,Positive
후회,Negative
후회하는,Negative
후회하다,Negative
흐느낌,Negative
흐뭇하다,Positive
흐뭇함,Positive
흠모,Positive
흠모하는,Positive
흠모하다,Positive
흡족하다,Positive
흡족함,Positive
흥,Positive
흥겨움,Positive
흥겹다,Positive
흥나다,Positive
흥미,Positive
흥미로움,Positive
흥미롭다,Positive
흥미진진하다,Positive
흥분,Positive
흥분하다,Positive
흥분한,Positive
흥취,Positive
희,Neutral
희망,Positive
희망하는,Positive
희망하다,Positive
희열,Positive
희희낙락,Positive
희희낙락하는,Positive
희희낙락하다,Positive
힘,Neutral
힘겨움,Negative
힘겹다,Negative
힘내다,Positive
힘들다,Negative
힘없다,Negative
힘차다,Positive
