korean_word,note,pos,english_word,translational_equivalence,korean_source1,korean_source2,english_source1,english_source2,cat3_korean,cat3_english,cat13_korean,cat13_english
혐오하는,,adjective,abhorrent,1,,,,,Negative,Negative,혐오/경멸 (Disgust/Contempt),혐오/경멸 (Disgust/Contempt)
갑작스럽다,,adjective,abrupt,1,Rhee_Ko_2013,,,,Neutral,Negative,놀라움/당황 (Surprise/Bewilderment),놀라움/당황 (Surprise/Bewilderment)
갑작스러움,,noun,abruptness,1,,,,,Neutral,Negative,놀라움/당황 (Surprise/Bewilderment),놀라움/당황 (Surprise/Bewilderment)
망연하다,,adjective,absentminded,1,Park_Min_2005,,,,Negative,Neutral,중립/인지 (Neutral/Cognitive),중립/인지 (Neutral/Cognitive)
몰두한,,adjective,absorbed,1,,,Baron-Cohen_2010,,Neutral,Neutral,중립/인지 (Neutral/Cognitive),중립/인지 (Neutral/Cognitive)
흥미진진하다,,adjective,absorbing,1,Park_Min_2005,,,,Positive,Neutral,기쁨 (Joy/Happiness),중립/인지 (Neutral/Cognitive)
가소롭다,,adjective,absurd,1,Park_Min_2005,,,,Negative,Neutral,혐오/경멸 (Disgust/Contempt),중립/인지 (Neutral/Cognitive)
기막히다,,adjective,absurd,1,,,,,Negative,Neutral,놀라움/당황 (Surprise/Bewilderment),중립/인지 (Neutral/Cognitive)
황당하다,,adjective,absurd,1,Park_Min_2005,,,,Negative,Neutral,놀라움/당황 (Surprise/Bewilderment),중립/인지 (Neutral/Cognitive)
어처구니없다,,adjective,absurd,1,Park_Min_2005,KOTE,,,Negative,Neutral,놀라움/당황 (Surprise/Bewilderment),중립/인지 (Neutral/Cognitive)
어이없다,,adjective,absurd,1,Park_Min_2005,KOTE,,,Negative,Neutral,놀라움/당황 (Surprise/Bewilderment),중립/인지 (Neutral/Cognitive)
황당함,,noun,absurdity,1,,,,,Negative,Neutral,놀라움/당황 (Surprise/Bewilderment),중립/인지 (Neutral/Cognitive)
어처구니없음,,noun,absurdity,1,,,,,Negative,Neutral,놀라움/당황 (Surprise/Bewilderment),중립/인지 (Neutral/Cognitive)
어이없음,,noun,absurdity,1,,,,,Negative,Neutral,놀라움/당황 (Surprise/Bewilderment),중립/인지 (Neutral/Cognitive)
가소로움,,noun,absurdness,1,,,,,Negative,Neutral,혐오/경멸 (Disgust/Contempt),중립/인지 (Neutral/Cognitive)
수락,,noun,acceptance,1,,,,,Positive,Positive,존경/감탄 (Admiration/Gratitude),중립/인지 (Neutral/Cognitive)
수용,,noun,acceptance,1,,,,,Positive,Positive,중립/인지 (Neutral/Cognitive),중립/인지 (Neutral/Cognitive)
수용된,,adjective,accepted,1,,,,,Positive,Positive,중립/인지 (Neutral/Cognitive),중립/인지 (Neutral/Cognitive)
수용하는,,adjective,accepting,1,,,Baron-Cohen_2010,,Positive,Positive,중립/인지 (Neutral/Cognitive),중립/인지 (Neutral/Cognitive)
탓하다,,verb,accuse,1,,,,,Negative,Negative,중립/인지 (Neutral/Cognitive),중립/인지 (Neutral/Cognitive)
비난받는,,adjective,accused,1,,,,,Negative,Negative,혐오/경멸 (Disgust/Contempt),중립/인지 (Neutral/Cognitive)
비난하는,,adjective,accusing,1,,,Baron-Cohen_2010,,Negative,Negative,혐오/경멸 (Disgust/Contempt),중립/인지 (Neutral/Cognitive)
,혐의를 제기하는,adjective,accusing,0,,,Baron-Cohen_2010,,,Negative,,중립/인지 (Neutral/Cognitive)
아림,,noun,ache,1,,,,,Negative,Negative,슬픔/비탄 (Sadness/Grief),슬픔/비탄 (Sadness/Grief)
아림,,noun,ache,1,,,,,Negative,Negative,슬픔/비탄 (Sadness/Grief),슬픔/비탄 (Sadness/Grief)
이루다,,verb,achieve,1,KOTE,,,,Positive,Positive,중립/인지 (Neutral/Cognitive),기쁨 (Joy/Happiness)
달성하다,,verb,achieve,1,,,,,Positive,Positive,기쁨 (Joy/Happiness),기쁨 (Joy/Happiness)
달성,,noun,achievement,1,KOTE,,,,Positive,Positive,기쁨 (Joy/Happiness),기쁨 (Joy/Happiness)
아리다,,adjective,aching,1,,,,,Negative,Negative,슬픔/비탄 (Sadness/Grief),슬픔/비탄 (Sadness/Grief)
아리다,,adjective,aching,1,Park_Min_2005,,,,Negative,Negative,슬픔/비탄 (Sadness/Grief),슬픔/비탄 (Sadness/Grief)
활발하다,,adjective,active,1,Rhee_Ko_2013,,,,Positive,Neutral,기쁨 (Joy/Happiness),중립/인지 (Neutral/Cognitive)
감복,,noun,admiration,1,,,,,Positive,Positive,존경/감탄 (Admiration/Gratitude),존경/감탄 (Admiration/Gratitude)
경탄,,noun,admiration,1,,,,,Positive,Positive,존경/감탄 (Admiration/Gratitude),존경/감탄 (Admiration/Gratitude)
흠모,,noun,admiration,1,KOTE,,,,Positive,Positive,사랑/애정 (Love/Affection),존경/감탄 (Admiration/Gratitude)
감탄,,noun,admiration,1,KOTE,,,,Positive,Positive,존경/감탄 (Admiration/Gratitude),존경/감탄 (Admiration/Gratitude)
존경심,,noun,admiration,1,,,,,Positive,Positive,존경/감탄 (Admiration/Gratitude),존경/감탄 (Admiration/Gratitude)
감복하다,,verb,admire,1,Park_Min_2005,,,,Positive,Positive,존경/감탄 (Admiration/Gratitude),존경/감탄 (Admiration/Gratitude)
흠모하다,,verb,admire,1,Park_Min_2005,,,,Positive,Positive,사랑/애정 (Love/Affection),존경/감탄 (Admiration/Gratitude)
경탄하다,,verb,admire,1,Park_Min_2005,,,,Positive,Positive,존경/감탄 (Admiration/Gratitude),존경/감탄 (Admiration/Gratitude)
감탄하다,,verb,admire,1,Park_Min_2005,,,,Positive,Positive,존경/감탄 (Admiration/Gratitude),존경/감탄 (Admiration/Gratitude)
존경하다,,verb,admire,1,Rhee_Ko_2013,,,,Positive,Positive,존경/감탄 (Admiration/Gratitude),존경/감탄 (Admiration/Gratitude)
흠모하는,,adjective,admiring,1,,,,,Positive,Positive,사랑/애정 (Love/Affection),존경/감탄 (Admiration/Gratitude)
경탄하는,,adjective,admiring,1,,,,,Positive,Positive,존경/감탄 (Admiration/Gratitude),존경/감탄 (Admiration/Gratitude)
존경하는,,adjective,admiring,1,,,,,Positive,Positive,존경/감탄 (Admiration/Gratitude),존경/감탄 (Admiration/Gratitude)
감복하는,,adjective,admiring,1,,,,,Positive,Positive,존경/감탄 (Admiration/Gratitude),존경/감탄 (Admiration/Gratitude)
감탄하는,,adjective,admiring,1,,,,,Positive,Positive,존경/감탄 (Admiration/Gratitude),존경/감탄 (Admiration/Gratitude)
귀엽다,,adjective,adorable,1,Rhee_Ko_2013,KOTE,,,Positive,Positive,사랑/애정 (Love/Affection),사랑/애정 (Love/Affection)
흠모,,noun,adoration,1,,,Storm_Storm_1987,,Positive,Positive,사랑/애정 (Love/Affection),사랑/애정 (Love/Affection)
이뻐하다,,verb,adore,1,Park_Min_2005,,,,Positive,Positive,사랑/애정 (Love/Affection),사랑/애정 (Love/Affection)
예뻐하다,,verb,adore,1,,,,,Positive,Positive,사랑/애정 (Love/Affection),사랑/애정 (Love/Affection)
흠모하는,,adjective,adoring,1,,,,,Positive,Positive,사랑/애정 (Love/Affection),사랑/애정 (Love/Affection)
흠모하는,,adjective,adoring,1,,,Baron-Cohen_2010,,Positive,Positive,사랑/애정 (Love/Affection),사랑/애정 (Love/Affection)
감동한,,adjective,affected,1,,,,,Positive,Neutral,존경/감탄 (Admiration/Gratitude),중립/인지 (Neutral/Cognitive)
친애,,noun,affection,1,KOTE,,,,Positive,Positive,사랑/애정 (Love/Affection),사랑/애정 (Love/Affection)
애정,,noun,affection,1,Park_Min_2005,,,,Positive,Positive,사랑/애정 (Love/Affection),사랑/애정 (Love/Affection)
다정하다,,adjective,affectionate,1,,,Baron-Cohen_2010,,Positive,Positive,사랑/애정 (Love/Affection),사랑/애정 (Love/Affection)
애정어리다,,adjective,affectionate,1,,,Baron-Cohen_2010,,Positive,Positive,사랑/애정 (Love/Affection),사랑/애정 (Love/Affection)
두려워하는,,adjective,afraid,1,,,Baron-Cohen_2010,Morgan_Heise_1988,Negative,Negative,두려움/불안 (Fear/Anxiety),두려움/불안 (Fear/Anxiety)
무서워하는,,adjective,afraid,1,,,Baron-Cohen_2010,Morgan_Heise_1988,Negative,Negative,두려움/불안 (Fear/Anxiety),두려움/불안 (Fear/Anxiety)
약오르는,,adjective,aggravating,1,,,Morgan_Heise_1988,,Negative,Negative,분노/짜증 (Anger/Irritation),분노/짜증 (Anger/Irritation)
공격적이다,,adjective,aggressive,1,,,Baron-Cohen_2010,,Negative,Negative,중립/인지 (Neutral/Cognitive),분노/짜증 (Anger/Irritation)
동요된,,adjective,agitated,1,,,,,Negative,Negative,놀라움/당황 (Surprise/Bewilderment),중립/인지 (Neutral/Cognitive)
격양하다,,adjective,agitated,1,,,,,Negative,Negative,분노/짜증 (Anger/Irritation),중립/인지 (Neutral/Cognitive)
격앙되다,,adjective,agitated,1,,,,,Negative,Negative,분노/짜증 (Anger/Irritation),중립/인지 (Neutral/Cognitive)
격앙하다,,adjective,agitated,1,Park_Min_2005,,,,Negative,Negative,분노/짜증 (Anger/Irritation),중립/인지 (Neutral/Cognitive)
격양되다,,adjective,agitated,1,,,,,Negative,Negative,분노/짜증 (Anger/Irritation),중립/인지 (Neutral/Cognitive)
격앙,,noun,agitation,1,,,,,Negative,Negative,분노/짜증 (Anger/Irritation),중립/인지 (Neutral/Cognitive)
격양,,noun,agitation,1,,,,,Negative,Negative,분노/짜증 (Anger/Irritation),중립/인지 (Neutral/Cognitive)
동요,,noun,agitation,1,,,,,Negative,Negative,놀라움/당황 (Surprise/Bewilderment),중립/인지 (Neutral/Cognitive)
고민하다,,verb,agonize,1,Park_Min_2005,,,,Negative,Negative,중립/인지 (Neutral/Cognitive),슬픔/비탄 (Sadness/Grief)
낙담하다,,verb,agonize,1,Park_Min_2005,,,,Negative,Negative,슬픔/비탄 (Sadness/Grief),슬픔/비탄 (Sadness/Grief)
고민하는,,adjective,agonizing,1,,,,,Negative,Negative,중립/인지 (Neutral/Cognitive),슬픔/비탄 (Sadness/Grief)
고뇌하는,,adjective,agonizing,1,,,,,Negative,Negative,슬픔/비탄 (Sadness/Grief),슬픔/비탄 (Sadness/Grief)
괴롭다,,adjective,agonizing,1,Park_Min_2005,,,,Negative,Negative,슬픔/비탄 (Sadness/Grief),슬픔/비탄 (Sadness/Grief)
고민,,noun,agony,1,,,,,Negative,Negative,중립/인지 (Neutral/Cognitive),슬픔/비탄 (Sadness/Grief)
고뇌,,noun,agony,1,,,,,Negative,Negative,슬픔/비탄 (Sadness/Grief),슬픔/비탄 (Sadness/Grief)
번뇌,,noun,agony,1,,,,,Negative,Negative,슬픔/비탄 (Sadness/Grief),슬픔/비탄 (Sadness/Grief)
침통함,,noun,agony,1,,,,,Negative,Negative,슬픔/비탄 (Sadness/Grief),슬픔/비탄 (Sadness/Grief)
괴로움,,noun,agony,1,,,,,Negative,Negative,슬픔/비탄 (Sadness/Grief),슬픔/비탄 (Sadness/Grief)
번민,,noun,agony,1,,,,,Negative,Negative,슬픔/비탄 (Sadness/Grief),슬픔/비탄 (Sadness/Grief)
우호적인,,adjective,agreeable,1,,,,,Positive,Positive,사랑/애정 (Love/Affection),사랑/애정 (Love/Affection)
우호,,noun,agreeableness,1,KOTE,,,,Positive,Positive,사랑/애정 (Love/Affection),사랑/애정 (Love/Affection)
공포,,noun,alarm,1,,,,,Negative,Negative,두려움/불안 (Fear/Anxiety),두려움/불안 (Fear/Anxiety)
두려움,,noun,alarm,1,,,,,Negative,Negative,두려움/불안 (Fear/Anxiety),두려움/불안 (Fear/Anxiety)
무서움,,noun,alarm,1,,,,,Negative,Negative,두려움/불안 (Fear/Anxiety),두려움/불안 (Fear/Anxiety)
놀람,,noun,alarm,1,,,,,Negative,Negative,놀라움/당황 (Surprise/Bewilderment),두려움/불안 (Fear/Anxiety)
놀란,,adjective,alarmed,1,,,,,Negative,Negative,놀라움/당황 (Surprise/Bewilderment),두려움/불안 (Fear/Anxiety)
무서워하는,,adjective,alarmed,1,,,,,Negative,Negative,두려움/불안 (Fear/Anxiety),두려움/불안 (Fear/Anxiety)
두려워하는,,adjective,alarmed,1,,,Baron-Cohen_2010,,Negative,Negative,두려움/불안 (Fear/Anxiety),두려움/불안 (Fear/Anxiety)
놀랍다,,adjective,alarming,1,Park_Min_2005,,,,Positive,Negative,놀라움/당황 (Surprise/Bewilderment),두려움/불안 (Fear/Anxiety)
경계하는,,adjective,alert,1,,,,,Negative,Neutral,두려움/불안 (Fear/Anxiety),중립/인지 (Neutral/Cognitive)
알리다,,verb,alert,1,,,Baron-Cohen_2010,,Neutral,Neutral,중립/인지 (Neutral/Cognitive),중립/인지 (Neutral/Cognitive)
기민하다,,adjective,alert,1,,,Baron-Cohen_2010,,Positive,Neutral,중립/인지 (Neutral/Cognitive),중립/인지 (Neutral/Cognitive)
경계하다,,verb,alert,1,,,,,Negative,Neutral,두려움/불안 (Fear/Anxiety),중립/인지 (Neutral/Cognitive)
기민함,,noun,alertness,1,,,Storm_Storm_1987,,Positive,Neutral,중립/인지 (Neutral/Cognitive),중립/인지 (Neutral/Cognitive)
각성도,,noun,alertness,1,,,Storm_Storm_1987,,Neutral,Neutral,중립/인지 (Neutral/Cognitive),중립/인지 (Neutral/Cognitive)
경계,,noun,alertness,1,,,,,Negative,Neutral,두려움/불안 (Fear/Anxiety),중립/인지 (Neutral/Cognitive)
경악한,,adjective,amazed,1,,,,,Negative,Positive,놀라움/당황 (Surprise/Bewilderment),기쁨 (Joy/Happiness)
경악,,noun,amazement,1,KOTE,,,,Negative,Positive,놀라움/당황 (Surprise/Bewilderment),기쁨 (Joy/Happiness)
굉장하다,,adjective,amazing,1,Rhee_Ko_2013,,,,Positive,Positive,기쁨 (Joy/Happiness),기쁨 (Joy/Happiness)
풍성하다,,adjective,ample,1,Rhee_Ko_2013,,,,Positive,Positive,기쁨 (Joy/Happiness),존경/감탄 (Admiration/Gratitude)
즐겁다,,adjective,amused,1,Park_Min_2005,KOTE,,,Positive,Positive,기쁨 (Joy/Happiness),기쁨 (Joy/Happiness)
재미있다,,adjective,amused,1,,,Baron-Cohen_2010,Morgan_Heise_1988,Positive,Positive,기쁨 (Joy/Happiness),기쁨 (Joy/Happiness)
재미,,noun,amusement,1,,,,,Positive,Positive,기쁨 (Joy/Happiness),기쁨 (Joy/Happiness)
즐거움,,noun,amusement,1,,,Storm_Storm_1987,,Positive,Positive,기쁨 (Joy/Happiness),기쁨 (Joy/Happiness)
재미있다,,adjective,amusing,1,Park_Min_2005,KOTE,,,Positive,Positive,기쁨 (Joy/Happiness),기쁨 (Joy/Happiness)
웃기다,,adjective,amusing,1,Rhee_Ko_2013,,,,Neutral,Positive,기쁨 (Joy/Happiness),기쁨 (Joy/Happiness)
즐겁다,,adjective,amusing,1,Park_Min_2005,KOTE,,,Positive,Positive,기쁨 (Joy/Happiness),기쁨 (Joy/Happiness)
화,,noun,anger,1,,,,,Negative,Negative,분노/짜증 (Anger/Irritation),분노/짜증 (Anger/Irritation)
성,,noun,anger,1,,,,,Neutral,Negative,중립/인지 (Neutral/Cognitive),분노/짜증 (Anger/Irritation)
부아,,noun,anger,1,Park_Min_2005,,,,Negative,Negative,분노/짜증 (Anger/Irritation),분노/짜증 (Anger/Irritation)
노기,,noun,anger,1,Park_Min_2005,,,,Negative,Negative,분노/짜증 (Anger/Irritation),분노/짜증 (Anger/Irritation)
성난,,adjective,angry,1,,,,,Negative,Negative,분노/짜증 (Anger/Irritation),분노/짜증 (Anger/Irritation)
열받다,also: fired up,adjective,angry,1,KOTE,Rhee_Ko_2013,,,Negative,Negative,분노/짜증 (Anger/Irritation),분노/짜증 (Anger/Irritation)
화나다,,adjective,angry,1,Park_Min_2005,,,,Negative,Negative,분노/짜증 (Anger/Irritation),분노/짜증 (Anger/Irritation)
노엽다,,adjective,angry,1,Park_Min_2005,,,,Negative,Negative,분노/짜증 (Anger/Irritation),분노/짜증 (Anger/Irritation)
번뇌,,noun,anguish,1,,,,,Negative,Negative,슬픔/비탄 (Sadness/Grief),슬픔/비탄 (Sadness/Grief)
번민하다,,verb,anguish,1,Park_Min_2005,,,,Negative,Negative,슬픔/비탄 (Sadness/Grief),슬픔/비탄 (Sadness/Grief)
조심,,noun,anguish,1,,,,,Neutral,Negative,평온/안정 (Calm/Comfort),슬픔/비탄 (Sadness/Grief)
번뇌하다,,verb,anguish,1,Park_Min_2005,,,,Negative,Negative,슬픔/비탄 (Sadness/Grief),슬픔/비탄 (Sadness/Grief)
번민,,noun,anguish,1,,,,,Negative,Negative,슬픔/비탄 (Sadness/Grief),슬픔/비탄 (Sadness/Grief)
비탄,,noun,anguish,1,KOTE,,,,Negative,Negative,슬픔/비탄 (Sadness/Grief),슬픔/비탄 (Sadness/Grief)
마음고생하다,,verb,anguish,1,Rhee_Ko_2013,,,,Negative,Negative,슬픔/비탄 (Sadness/Grief),슬픔/비탄 (Sadness/Grief)
마음고생,,noun,anguish,1,,,,,Negative,Negative,슬픔/비탄 (Sadness/Grief),슬픔/비탄 (Sadness/Grief)
고뇌하다,,verb,anguish,1,Park_Min_2005,,,,Negative,Negative,슬픔/비탄 (Sadness/Grief),슬픔/비탄 (Sadness/Grief)
고뇌,,noun,anguish,1,,,,,Negative,Negative,슬픔/비탄 (Sadness/Grief),슬픔/비탄 (Sadness/Grief)
번민하는,,adjective,anguished,1,,,,,Negative,Negative,슬픔/비탄 (Sadness/Grief),슬픔/비탄 (Sadness/Grief)
마음고생하는,,adjective,anguished,1,Rhee_Ko_2013,,,,Negative,Negative,슬픔/비탄 (Sadness/Grief),슬픔/비탄 (Sadness/Grief)
번뇌하는,,adjective,anguished,1,,,,,Negative,Negative,슬픔/비탄 (Sadness/Grief),슬픔/비탄 (Sadness/Grief)
적대감,,noun,animosity,1,,,,,Negative,Negative,분노/짜증 (Anger/Irritation),분노/짜증 (Anger/Irritation)
적의,,noun,animosity,1,Park_Min_2005,,,,Negative,Negative,분노/짜증 (Anger/Irritation),분노/짜증 (Anger/Irritation)
반감,,noun,animosity,1,Park_Min_2005,,,,Negative,Negative,분노/짜증 (Anger/Irritation),분노/짜증 (Anger/Irritation)
신경질,,noun,annoyance,1,Park_Min_2005,,,,Negative,Negative,분노/짜증 (Anger/Irritation),분노/짜증 (Anger/Irritation)
짜증,,noun,annoyance,1,KOTE,,,,Negative,Negative,분노/짜증 (Anger/Irritation),분노/짜증 (Anger/Irritation)
짜증난,,adjective,annoyed,1,,,,,Negative,Negative,분노/짜증 (Anger/Irritation),분노/짜증 (Anger/Irritation)
짜증나는,,adjective,annoying,1,,,,,Negative,Negative,분노/짜증 (Anger/Irritation),분노/짜증 (Anger/Irritation)
약오르는,,adjective,annoying,1,,,Baron-Cohen_2010,Morgan_Heise_1988,Negative,Negative,분노/짜증 (Anger/Irritation),분노/짜증 (Anger/Irritation)
짜증나는,,adjective,annoying,1,,,Baron-Cohen_2010,Morgan_Heise_1988,Negative,Negative,분노/짜증 (Anger/Irritation),분노/짜증 (Anger/Irritation)
적대감,,noun,antagonism,1,,,,,Negative,Negative,분노/짜증 (Anger/Irritation),분노/짜증 (Anger/Irritation)
